word,kelas,panjang,definisi,clue
OKE,aksi,3,setuju,Setuju
JAM,benda,3,pukul2,Punya 12 angka
AIR,benda,3,"benda cair yang biasa terdapat di sumur, sungai, danau yang mendidih pada suhu 100�C",Ikut wadahnya
TAU,aksi,3,tahu,Sudah belajar
TIM,aksi,3,mengetim,
IDE,benda,3,perasaan yang benar-benar menyelimuti pikiran,Hasil kerja otak
API,benda,3,kebakaran,Sakit dan tak tersentuh
MAN,benda,3,paman,
SIR,benda,3,tiruan bunyi desir,
KIM,benda,3,permainan dengan menandai angka yang telah terletak dalam kolom ataupun baris yang telah d,
HAK,benda,3,kewenangan,
DAH,benda,3,sudah,
BOM,benda,3,pelabuhan; pabean,
BAU,aksi,3,ada baunya; mengeluarkan bau,
MIL,benda,3,surat-surat pos,
KUE,benda,3,"penganan yang dibuat dari bahan yang bermacam-macam, dapat dibuat dalam berbagai bentuk, a",Makanan manis
TAS,benda,3,bunyi lembut sekali,
BAR,benda,3,"tempat minum-minum (biasanya minuman keras, seperti anggur, bir, wiski)",
TOM,benda,3,tali kekang,
TEH,benda,3,"pohon kecil, tumbuh di alam bebas, daunnya berbentuk jorong atau bulat telur, pucuknya dil",
BIR,benda,3,minuman mengandung alkohol yang dibuat dengan peragian lambat,
TES,benda,3,percobaan untuk menguji kelaikan jalan suatu kendaraan bermotor umum; uji,
JIN,benda,3,pelana,
JIM,benda,3,nama huruf ke-5 abjad Arab,
BOB,benda,3,potongan rambut pendek dan membulat (biasanya pada wanita),
WON,benda,3,mata uang Korea Selatan dan Korea Utara,
BUS,benda,3,tiruan bunyi angin berembus,
SEL,benda,3,"bilik kecil dan sempit (dalam penjara, biara, dan sebagainya)",
ROH,benda,3,semangat; spirit,
GOT,benda,3,selokan,
MIN,benda,3,"tanaman herba genus Mentha, memiliki batang berbentuk persegi, bunga berukuran kecil berwa",
GAS,benda,3,uap dari bensin (bensol dan sebagainya),
ARE,benda,3,"satuan ukuran luas, sama dengan 100 m_",
CEK,benda,3,encek,Surat perintah bank
AJA,benda,3,sebutan putri bangsawan (Deli),
BUT,benda,3,mulai awal,
KAK,benda,3,kakak; saudara tua,Panggilan saudara tua
POS,benda,3,prosedur operasional standar,Kantor kirim surat
NOT,benda,3,tanda nada tertentu pada musik; bunyi musik dengan frekuensi dasar tertentu; titi nada,Simbol nada musik
